Date,Colour
August 2025,Indigo
July 2025,Tomato
June 2025,Purple
May 2025,Light Gray
April 2025,Dim Gray
March 2025,Light Yellow
February 2025,Lemon Chiffon
January 2025,Light Goldenrod Yellow
December 2024,Dark Red
November 2024,Olive
October 2024,Cyan
September 2024,Plum
August 2024,Lime
July 2024,Bisque
June 2024,Pale Violet Red
May 2024,Tomato
April 2024,Dark Olive Green
March 2024,Dark Slate Blue
February 2024,Crimson
